g_cnt,al,hlf_sat
19,0,0.25822045258873244
0,0,0.22285481105513044
49,0,0.17820044296788498
800,0,0.17483302884031632
264,6.831418494257435,0.22413004504703804
352,0,0.2025754990871268
12,10.205451495998497,0.2132643542788181
0,0,0.23416622783245425
3,11.367694419466966,0.20800190164557752
48,9.706326053306322,0.20727436384234585
0,0,0.23088191275450437
97,5.316303890121321,0.2106169961700739
850,5.006105301369801,0.1922411700449083
152,0,0.2182973820564868
325,3.749499367572,0.22071849832080326
0,0,0.24886818565233132
0,0,0.282373332210371
0,0,0.1787648326423213
0,0,0.22526687540959756
0,0,0.24235185159650505
1,10.930258999297497,0.2587907628488384
0,0,0.20961300682456874
2,0,0.23356877590508301
6,0.5164951201223033,0.2521248609987509
0,0,0.30903015764222086
0,0,0.2701937084619517
0,0,0.23128816992486564
0,0,0.3830729583343262
0,0,0.3214809070862814
0,0,0.23135029499248483
0,0,0.21472285262707452
0,0,0.4582827783170313
