X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.03965461889965411,52.2876872376302,0.6446910588962728
2.0,2.0,train,0.03186697197572031,26.34642079568152,0.5646272975808164
3.0,3.0,train,0.04851143399345104,70.4044217889916,0.7180094750807668
4.0,4.0,train,0.04681542016615321,65.55327671713505,0.7052492422049175
5.0,5.0,train,0.03581089620907262,36.628568653608696,0.6072050559791449
6.0,6.0,train,0.032476169379413715,29.593908471075082,0.5714935684650352
7.0,7.0,train,0.023114157986310023,9.974242913581406,0.4529157617358349
8.0,8.0,train,0.03881219901547942,44.36593143411386,0.636793989005328
9.0,9.0,train,0.03856147486874818,40.48469154175484,0.6344099151735834
10.0,10.0,train,0.0523193009703186,80.78214006010624,0.7446821930961585
11.0,11.0,train,0.06707284621427487,100.0,0.8262664809718193
12.0,12.0,train,0.0514584693023507,75.55015576471347,0.7388820956423303
13.0,13.0,train,0.0626549997235009,93.2927068951356,0.8050381032207636
14.0,14.0,train,0.025038681103106586,14.945468289533922,0.4797115783201442
15.0,15.0,train,0.029238421204721414,23.159783278850153,0.5337167975909914
16.0,16.0,train,0.03956172920791916,48.32336634501198,0.6438287772227067
17.0,17.0,train,0.04546473768104016,60.87180762092646,0.6946753917813114
18.0,18.0,train,0.062450759445691256,87.02719040824665,0.8039962705052842
