g_veg,al,li,pb,rel_infil
20,0,0.25379610705457556,0.40780717374669895,fair/slow
37,0,0.23760325216507067,1.207106164634779,slow/fair
0,0,0.228498377487284,1.3161958090999029,slow
0,0,0.2395494280170325,1.3097532267540932,slow
15,6.831418494257435,0.14973611647768492,0.7121467830107714,fair
5,0,0.1899438126293971,1.6389393496299332,slow/fair
16,10.205451495998497,0.1328861778272728,0.26545741381344584,fair
5,2.849588573218308,0.20002101251066368,0.3519502003596779,fair
0,0,0.20841280889371216,1.14853026533913,slow/fair
100,11.367694419466966,0.12161647922621156,0.5961980537126,fair
30,9.706326053306322,0.09234386870287219,0.5841804074346143,fair
0,0,0.25571282766752285,0.7854703650576111,fair/slow
5,5.006105301369801,0.1567895845566929,0.889567226700751,fair/slow
7,0,0.1809268221681004,1.1582317221459273,fair/slow
16,0,0.2087392968071726,0.8533996818734344,fair
10,3.749499367572,0.13841890243438473,0.7152370635104287,fair
50,0,0.20354166089819187,0.539071242753048,fair
0,0,0.1652906095220281,1.231072503015208,fair
0,0,0.331956942651324,2.157934437767339,slow
0,0,0.19968028116186648,1.157303461801797,fair/slow
35,0,0.2190271938790513,0.8990080513513193,slow/fair
0,10.930258999297497,0.194738416375084,0.9121500093981888,fair
0,0,0.19651885231774516,0.6156982080009346,fair/slow
0,0,0.21025514659475025,1.2873464885477264,slow/fair
0,0,0.20009208133367837,1.1498000089251499,slow
0,0,0.24334846989867345,1.4915324301457569,slow
0,0,0.20476410464502898,1.9097176222897452,slow/fair
0,0,0.34193628513328606,1.7457954427408926,slow/fair
0,0,0.21580702554943512,0.9220961179622021,slow/fair
0,0,0.1881085415466102,0.6250411034393698,fair/slow
0,0,0.18423181135842764,1.3407082323482162,slow/fair
0,0,0.24397129432117115,1.3523037661880477,fair/slow
