g_repro,al
4485,0
125.39999999999999,0
0,0
110.25,0
1839.9999999999998,0
2847.4285714285725,6.831418494257435
4364.8,0
123,10.205451495998497
1674.3999999999999,2.849588573218308
0,0
31.5,11.367694419466966
0,0
1079.5,5.543404625676512
374.15384615384625,0
24.999999999999996,0
1917.5000000000002,3.749499367572
123.99999999999997,0
0,0
0,0
0,0
0,0
49,10.930258999297497
0,0
6,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
