X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.04971571847119009,50.87625100020522,0.6783271867105547
2.0,2.0,train,0.027250654600207015,12.457283288329824,0.4629691294397221
3.0,3.0,train,0.05470860512761892,61.52718285526569,0.7129585567896406
4.0,4.0,train,0.06733390077284254,93.24354830231012,0.7847948844319613
5.0,5.0,train,0.030963659367433675,18.54638592068955,0.5065869542278698
6.0,6.0,train,0.06303047811905833,79.83220538073586,0.7625943220152758
7.0,7.0,train,0.06756474322464111,100.0,0.7859252759496932
8.0,8.0,train,0.05180107524128943,56.05625114167252,0.6932726194134666
9.0,9.0,train,0.06677751223428559,86.51028365574616,0.782045764028836
10.0,10.0,train,0.057761632868747845,67.30338193291449,0.7322712165378613
11.0,11.0,train,0.04388032931237988,45.90465824319852,0.6325217296562711
12.0,12.0,train,0.062260001236490524,73.52934668006667,0.7583843715705179
13.0,13.0,train,0.041462667553650516,37.34264223531001,0.611683389380981
14.0,14.0,train,0.03687174657128091,25.446376088530894,0.5688056851738219
15.0,15.0,train,0.04173894777407846,41.5166982348763,0.6141232864227457
