Predictor variable,Categorical,Sample average
as,false,0.15387329774660236
ca_mgl,false,11.23912324681005
fe,false,88.26493280994036
mo,false,0.027483841107339292
ph,false,5.794666666666668
rel_infil,false,2.2
soil_txtr,false,4.0
sr,false,2.4951067980904518
zn,false,1.0325440312315004
