x,y,species cloglog values
1.0,1.0,0.5813298
2.0,2.0,0.42781326
3.0,3.0,0.4947915
4.0,4.0,0.24154906
5.0,5.0,0.0020389217
6.0,6.0,0.26001287
7.0,7.0,0.20011802
8.0,8.0,0.3728487
9.0,9.0,0.59239966
10.0,10.0,0.0017169595
11.0,11.0,0.078712046
12.0,12.0,0.23461403
13.0,13.0,4.1050097E-4
14.0,14.0,4.35345E-4
15.0,15.0,0.5194944
16.0,16.0,0.022369437
17.0,17.0,0.01783454
