g_flwr,cation,fe,mo,ph,rel_infil
65,2.742886328348863,31.69897211803572,0.03385700109047411,5.88,fair/slow
37,1.9961991372160426,141.3091442510399,0.016346629562648374,5.86,slow/fair
35,2.167710680601095,49.181809830562045,0.046838893424256116,6.22,slow/fair
60,1.6751274165965226,125.357206972428,0.027935723382229133,5.5,fair
75,2.447558323293014,160.53484389704653,0.014983811285338407,5.6,slow/fair
68,1.4230651679283004,116.57159906458013,0.01605018650984549,5.41,fair
45,1.7240403877917136,68.92258182139804,0.018561130821662674,6.09,fair
0,1.5754063830943443,90.92313926545962,0,5.73,fair
60,1.4041831608660749,112.63416189292005,0.040733146983255884,5.51,fair
0,1.769469445922583,43.37882681617313,0.02673095851949918,6,fair/slow
89,1.8173471815911886,106.76380943160821,0.029025050866194998,5.66,fair
72,2.15888428643134,139.65032156397498,0,5.49,fair
85,1.2579231759748712,113.7043621664566,0.016038060482557955,5.7,fair/slow
9,2.789819804978915,75.4411556499635,0.020454734521827837,5.6,fair/slow
34,2.7016672462031144,114.39526839578154,0.0456209161846648,5.72,fair
80,1.6963186153269252,207.5262809503859,0,5.39,fair
34,1.836113324046534,76.79153241016078,0.031398648638529356,5.97,fair
0,5.017283570103925,262.8678366027852,0.022762564596284677,5.48,fair
0,3.0321486396879664,17.910042914421645,0.04439984293793627,5.94,slow
0,2.2209163774243397,95.32915220295915,0.0175931834138627,5.62,slow/fair
0,1.1951415647756634,110.25899863059146,0.014709501695019144,5.86,slow/fair
0,1.9831351471981242,77.21094651174978,0.04148265600443809,5.82,fair
0,2.321904579815326,89.66114128928989,0.05594879052837909,5.95,fair/slow
50,1.6611372823761423,51.93893537073394,0.013343990857142494,5.78,fair/slow
33,1.7239411816646228,80.04754141458564,0.051935210468282304,5.81,slow/fair
0,3.4202934172821253,39.7324912215535,0.04070349705095114,6.11,slow
0,1.8672001162420655,87.059984191317,0.027211423203181904,5.75,slow
0,2.683861587033572,8.677078496909008,0.02355427326048781,6.74,slow
0,2.773116437439702,7.723036336382862,0.0389482319131167,7.69,slow/fair
0,2.1899791644572244,141.14854531071268,0.0410624016566983,5.87,fair/slow
0,2.563313123533898,40.925896688714225,0.06135576462401636,5.99,slow/fair
0,3.9391914064935016,60.60779564751284,0.07432703038474692,6.23,fair/slow
