g_pres,as,ca_mgl,fe,mo,ph,rel_infil,soil_txtr,sr,zn
present,0.14445039895288095,16.751967727811486,31.69897211803572,0.03385700109047411,5.88,fair/slow,sandy loam,2.3235286194816367,0.853117227577778
present,0.2523426380022684,10.789530250409067,141.3091442510399,0.016346629562648374,5.86,slow/fair,sandy loam,3.2430952327537486,3.0043232059487086
absent,0.2321397544874757,12.03290271207474,106.47299723444999,0.04221146414132785,5.9,slow,sandy loam,2.558919144511362,2.5305430483411877
present,0.16290389129584204,9.897265539140305,59.461489815402224,0.016320695892226206,5.8,slow,sandy loam,2.9551311457868397,0.825242697297132
present,0.16085446916239227,14.014189567953045,49.181809830562045,0.046838893424256116,6.22,slow/fair,sandy loam,2.377225357804633,0.4439557228990608
present,0.2181121081053577,12.465308240868826,160.53484389704653,0.014983811285338407,5.6,slow/fair,sandy loam,2.892752520627373,2.287752466833514
present,0.11980170290888521,8.479507315219777,116.57159906458013,0.01605018650984549,5.41,fair,sandy loam,1.9257033284824763,0.4327015275490967
present,0.12124059411330453,13.288423703376523,68.92258182139804,0.018561130821662674,6.09,fair,sandy loam,2.518378136765172,0.46125946844816734
present,0.09410104648508931,9.8936728733026,90.92313926545962,0,5.73,fair,sandy loam,2.2559314753118174,0.574418871793731
present,0.07314094791515688,7.282785171365369,112.63416189292005,0.040733146983255884,5.51,fair,sandy loam,1.7020968295669046,0.6913108116684685
absent,0.19805272840390348,9.245580322758943,43.37882681617313,0.02673095851949918,6,fair/slow,sandy loam,3.4207031589772035,0.9328208100601816
present,0.11193953800552907,11.66404836055709,106.76380943160821,0.029025050866194998,5.66,fair,sandy loam,1.7367552613098873,0.6781158752441531
present,0.13383293975839494,6.111341451314702,113.7043621664566,0.016038060482557955,5.7,fair/slow,sandy loam,1.908867699102927,0.3947483809347663
present,0.16939313583289728,9.35595883119078,75.4411556499635,0.020454734521827837,5.6,fair/slow,sandy loam,2.5606040979229148,0.7076922903826844
present,0.17964846774627588,14.307443193439228,114.39526839578154,0.0456209161846648,5.72,fair,sandy loam,2.62268093589153,0.7730452694808495
present,0.09108786689272419,8.858155516358806,207.5262809503859,0,5.39,fair,sandy loam,1.8603226349775193,0.7591460057804542
present,0.08028150470510685,11.943042938274424,76.79153241016078,0.031398648638529356,5.97,fair,sandy loam,1.6335599415903914,0.5470691616956056
absent,0.23544130076215813,23.432685447585413,262.8678366027852,0.022762564596284677,5.48,fair,sandy loam,2.2790517960207164,1.5007540078923003
absent,0.15158658629872593,12.46971245841975,70.2929758703828,0.058277261501982994,5.73,fair/slow,sandy loam,3.761759733420951,1.1233379068532203
absent,0.3259988959683563,12.925507185952284,95.32915220295915,0.0175931834138627,5.62,slow/fair,sandy loam,4.023323614691149,0.8563708776240072
present,0.19018529570831766,7.253136441163218,135.8114734446933,0,5.76,slow/fair,sandy loam,3.093801441478816,0.6771431862913511
present,0.07663052909162094,12.690897140218908,77.21094651174978,0.04148265600443809,5.82,fair,sandy loam,2.84639128392068,2.3474851017803777
absent,0.13785040096795606,11.376774426627968,89.66114128928989,0.05594879052837909,5.95,fair/slow,sandy loam,2.1348671785688724,1.8187641000025982
present,0.20076402473494712,7.416864678166762,51.93893537073394,0.013343990857142494,5.78,fair/slow,sandy loam,3.4538261067404195,0.6019741075971518
absent,0.2563298276412086,23.919959729468097,39.7324912215535,0.04070349705095114,6.11,slow,clay loam,1.6770903189341553,3.797130519113851
absent,0.2717476086513901,41.075246721673096,91.4513618826466,0,6.17,slow/fair,sandy loam,4.071511218205597,1.644930383387621
absent,0.21199723397658954,7.842478494955037,87.059984191317,0.027211423203181904,5.75,slow,sandy loam,3.8730133883057083,1.5507731501086535
absent,0.1810295975501618,21.975340853636023,8.677078496909008,0.02355427326048781,6.74,slow,clay,2.237694031488712,1.0067028289783007
absent,0.03083534248039012,32.20002678126691,7.723036336382862,0.0389482319131167,7.69,slow/fair,clay,2.605452203398562,0.6167709260636298
absent,0.18122281491062583,17.08876814686675,43.557331121590664,0.02199703258834481,5.7,slow/fair,clay,2.814637112943065,2.886953238650181
absent,0.17076418080945538,14.2781756783294,141.14854531071268,0.0410624016566983,5.87,fair/slow,sandy loam,1.8932494976263334,2.0815248825494246
absent,0.030778358525030646,21.41008487515574,40.925896688714225,0.06135576462401636,5.99,slow/fair,loam,0.6749943923895957,8.275926905554497
