g_pres,asp_cir,bare,dstrb_cir,slp_deg_cir,slp_pos
1,7,30,15,16,1
1,3,5,12,12,1
0,5,0,1,5,-1
1,7,7,1,8,0
1,8,15,1,13,0
1,4,2,5,10,0
1,7,20,20,7,0
1,4,20,22,5,1
1,4,8,10,25,1
0,6,5,7,15,0
1,3,10,10,10,1
1,3,12,5,10,0
1,8,35,2,15,0
1,7,10,25,16,0
1,5,6,3,10,0
0,8,2,2,10,0
0,5,0,0,16,0
0,1,1,1,10,0
0,8,15,3,10,1
0,4,5,5,15,0
1,2,5,2,7,1
1,1,4,4,16,1
1,4,1,25,14,0
0,2,10,8,17,0
0,2,6,8,25,1
0,2,15,15,20,0
0,6,2,1,25,-1
0,7,40,2,25,0
0,7,5,1,15,0
0,7,1,5,25,0
0,6,3,2,9,-1
0,1,1,3,22,-1
