x,y,species cloglog values
1.0,1.0,0.22787352
2.0,2.0,0.5473763
3.0,3.0,0.4943465
4.0,4.0,0.35519758
5.0,5.0,0.4594912
6.0,6.0,0.77801275
7.0,7.0,0.5473763
8.0,8.0,0.5456215
9.0,9.0,0.4300155
10.0,10.0,0.5064534
11.0,11.0,0.113926
12.0,12.0,0.3340835
13.0,13.0,0.5401782
14.0,14.0,0.21476252
15.0,15.0,0.29395637
16.0,16.0,0.1315974
